1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
456	-0.703817	225.157741	0.005574	8.5
457	-1.497528	224.915549	0.010435	8.2
458	-0.905887	224.674051	0.015493	10.8
459	-1.426799	224.433242	0.028415	9.3
460	-0.362795	224.193121	0.001984	8.3
461	-1.608855	223.953684	0.017873	8.3
462	-0.625948	223.714927	0.009840	10.5
463	-0.553213	223.476848	0.002543	9.4
464	-0.606663	223.239444	0.004871	8.1
465	-1.570429	223.002710	0.023173	8.8
466	-1.419387	222.766645	0.019308	9.1
467	-0.740960	222.531245	0.005080	10.8
468	-1.152012	222.296508	0.010875	9.2
469	-1.641774	222.062429	0.028526	8.7
470	-0.335276	221.829007	0.005302	8.3
471	-0.570254	221.596238	0.011850	11.6
472	-0.615468	221.364119	0.008280	9.9
473	-0.858406	221.132647	0.006626	9.1
474	-1.093395	220.901820	0.011517	8.4
475	-1.453651	220.671634	0.013609	12.8
476	-1.577858	220.442086	0.013116	8.7
477	-1.513257	220.213174	0.014897	8.3
478	-1.506203	219.984895	0.024815	8.5
479	-0.809393	219.757246	0.009407	11.5
480	-0.849954	219.530224	0.020822	10.1
481	-1.078612	219.303826	0.009766	7.6
482	-1.432209	219.078050	0.016533	8.7
483	-1.577982	218.852893	0.017883	10.0
484	-1.046355	218.628352	0.011168	9.2
485	-0.325359	218.404424	0.002878	8.8
486	-1.550049	218.181106	0.014786	8.4
487	-1.286733	217.958397	0.039701	7.9
488	-1.607526	217.736292	0.021282	10.0
489	-0.679543	217.514790	0.002762	8.1
490	-0.353111	217.293888	0.001703	8.4
491	-1.697320	217.073584	0.023725	8.3
492	-1.549946	216.853873	0.016971	10.6
493	-1.442527	216.634755	0.012745	10.1
494	-0.478030	216.416227	0.004360	7.8
495	-1.642339	216.198285	0.023268	7.8
496	-0.716790	215.980927	0.013902	8.4
497	-0.832713	215.764151	0.011799	12.7
498	-0.678871	215.547955	0.004295	8.4
499	-1.731636	215.332335	0.026938	9.7
500	-1.680275	215.117289	0.024565	8.2
501	-0.296110	214.902815	0.004069	10.7
502	-0.210838	214.688911	0.001629	9.6
503	-0.764863	214.475573	0.012507	7.9
504	-0.261696	214.262800	0.005399	8.5
505	-1.191498	214.050588	0.013263	11.2
506	-1.405322	213.838936	0.012224	9.4
507	-0.107756	213.627842	0.001033	8.6
508	-1.437874	213.417302	0.014386	8.5
509	-1.128299	213.207314	0.013026	8.1
510	-1.037319	212.997877	0.012131	11.1
511	-1.163249	212.788987	0.010017	9.2
512	-0.419922	212.580642	0.006246	8.3
513	-1.621383	212.372841	0.007537	8.5
514	-0.581832	212.165581	0.003436	10.1
515	-1.042290	211.958859	0.009407	8.8
516	-1.215421	211.752673	0.008690	8.3
517	-0.879091	211.547021	0.015754	7.8
518	-1.302210	211.341902	0.008770	8.7
519	-0.858117	211.137311	0.011399	11.5
520	-0.361092	210.933248	0.004309	9.8
521	-1.101048	210.729710	0.007001	8.6
522	-0.764791	210.526695	0.014588	8.7
523	-1.090757	210.324200	0.013010	10.8
524	-1.565746	210.122224	0.019886	10.4
525	-0.620372	209.920765	0.008310	9.5
526	-1.426927	209.719820	0.028848	8.6
527	-0.763627	209.519387	0.010351	8.7
528	-1.618099	209.319463	0.014332	9.4
529	-1.473333	209.120048	0.021876	10.0
530	-1.617809	208.921139	0.022174	8.2
531	-1.088260	208.722733	0.005744	8.8
532	-0.651777	208.524829	0.002768	12.2
533	-1.641013	208.327425	0.016268	8.8
534	-0.918561	208.130518	0.012852	7.8
535	-1.218672	207.934107	0.022202	7.8
536	-1.711232	207.738189	0.020272	10.7
537	-0.748272	207.542762	0.012842	8.0
538	-0.982626	207.347825	0.009994	8.7
539	-1.509427	207.153376	0.019517	7.8
540	-0.449284	206.959412	0.003945	8.5
541	-1.026080	206.765932	0.012558	10.3
542	-1.014472	206.572933	0.009494	8.9
543	-1.086931	206.380414	0.019548	8.7
544	-0.927261	206.188373	0.016990	8.0
545	-0.418957	205.996807	0.002891	8.9
546	-0.761873	205.805716	0.017767	9.4
547	-0.729583	205.615096	0.012509	9.4
548	-1.413800	205.424946	0.026575	7.8
549	-1.465004	205.235265	0.017168	8.3
